Response ID,Questionnaire Type,Session ID,Submission Time,Q1. What agency do you work for?,Q2. At what level do you work?,Q3. What position do you currently hold?,Q4. How many years of experience do you have in road asset management?,Q5. What is your primary involvement?,Q6. Which of the following indicators are primarily used to assess or report pavement condition in the road network you work with?,Q7. To what degree are maintenance planning decisions in your network linked to documented pavement condition data and technical analysis?,"Q8. In your experience, which of the following factors most influence annual maintenance and rehabilitation prioritization in your network?","Q9. Does your agency maintain repeated condition measurements (e.g., IRI or visual surface condition ratings) for the same road sections over multiple years?","Q10. Are maintenance histories (records of when and where routine, periodic, rehabilitation and reconstruction treatments were applied over multiple years) kept and linked to condition data?","Q11. Do you agree or disagree with the following statement? ""Availability of historical pavement condition records and maintenance history information affects planning decisions.""","Q12. Based on your experience, are some types of roads more likely than others to receive condition measurements (e.g., IRI)? If you answer Yes, please complete Q13 below. If you answer No or Not sure, you may leave Q13 blank",Q13. What factors influence measurement coverage in your experience? (Complete only if you answered Yes to Q12.),"Q14. In your experience, does road condition influence where instrumented condition measurements (e.g., IRI) are carried out?","Q15. Do you agree or disagree with the following statement? ""Differences in measurement coverage across the road network influence maintenance planning outcomes.""",Q16. Does your agency use any formal method to forecast future pavement condition?,"Q17. Do you agree or disagree with the following statement? ""Current forecasting approaches reflect actual pavement deterioration patterns observed in the field.""",Q18. What are the biggest barriers to structured deterioration modelling?,If deterioration forecasts wer – Multi-year budgeting,If deterioration forecasts wer – Treatment timing decisions,If deterioration forecasts wer – Network-level optimisation,If deterioration forecasts wer – Risk-based prioritisation,If deterioration forecasts wer – Justification of funding requests,"Q20. Where condition data are missing, how likely are you to consider the usage of analytical methods to estimate condition based on available network characteristics (e.g., road class, traffic level, pavement type, drainage condition, shoulder type, environmental and regional context)?",Q21. Under what conditions would you consider model-estimated or reconstructed condition data reliable for planning decisions?,If model-estimated or reconstr – Network-level performance analysis,If model-estimated or reconstr – Life-cycle modelling and long-term planning,If model-estimated or reconstr – Treatment timing and optimisation,If model-estimated or reconstr – Budget allocation and justification,Q23. How familiar are you with the usage of road infrastructure database for improving road maintenance planning and decision making?,Q24. How familiar are you with the application of Artificial Intelligence (AI) for improving road maintenance planning and decision making?,Q25. How familiar are you with the application of data analytics for improving road maintenance planning and decision making?,Q26. How familiar are you with the application of Multi-Criteria Decision Analysis (MCDA) for improving road maintenance planning and decision making?,"Q27. What practical improvements in data systems, institutional approaches, or technical capacity would most strengthen pavement performance management in Kenya?","Q28. Do you have any additional comments or recommendations regarding forecasting, modelling, or use of condition data in road asset management and planning?"
78,Pavement Management,session_1777635049_4ae90cb9,2026-05-01 14:46:03,MTRD,Headquarters (national coordination),Senior Engineer,5–10 years,Pavement condition assessment,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Pavement Condition Index (PCI); Structural Number (SN); Engineering site inspection without formal rating",To a very large degree,Budget ceilings; Political or policy direction; Emergency requirements; Engineer/Inspector judgement,Very limited continuity (only occasional repeats),Not systematically recorded,Strongly agree,Yes,Roads under special programmes,No – measurements are distributed similarly across the network,Neither agree nor disagree,"Yes – Structured statistical models (e.g., regression or trend-based models using historical condition data)",Strongly agree,Missing or unreliable maintenance histories,Moderate impact,Moderate impact,Small impact,Small impact,Moderate impact,Very likely to consider,Only when direct measurements are unavailable,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Not at all familiar,Not at all familiar,Not at all familiar,Slightly familiar,Make the Pavement Material Management System at MTRD a live system—keep feeding it with real-time data so it is always up to date and ready to guide decisions.,"Use that data to predict when roads will fail and fix them at the right time, instead of waiting for damage to happen."
77,Pavement Management,session_1777623967_607f6920,2026-05-01 11:37:03,MTRD,Headquarters (national coordination),Senior Engineer,5–10 years,Pavement condition assessment; Maintenance planning/prioritisation,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Pavement Condition Index (PCI); Structural Number (SN)",To a very large degree,Budget ceilings,"Irregular continuity (some repeated measurements, but inconsistent over time)",Recorded and systematically linked to condition data,Strongly disagree,Yes,Traffic importance,Yes – measurements tend to focus on roads in better condition,Strongly agree,"Yes – Structured statistical models (e.g., regression or trend-based models using historical condition data)",Strongly agree,Incomplete or inconsistent condition records; Missing or unreliable maintenance histories,Moderate impact,Moderate impact,Moderate impact,Moderate impact,Moderate impact,Very likely to consider,Demonstrated agreement with measured field data,Moderately useful,Moderately useful,Moderately useful,Moderately useful,Very familiar,Very familiar,Very familiar,Moderately familiar,Availability of database for all roads,
76,Pavement Management,session_1777622256_2277a163,2026-05-01 11:07:39,Other (specify),Headquarters (national coordination),Senior Engineer,10–20 years,Pavement condition assessment,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Pavement Condition Index (PCI); Structural Number (SN); Engineering site inspection without formal rating",To a large degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Political or policy direction; Public complaints; Emergency requirements; Traffic levels; Maintenance history; Engineer/Inspector judgement; Equity considerations (across regions/constituencies); Other (please specify)",Fully consistent continuity (systematic repeated measurements across years for most sections),Recorded but generally not linked to condition data,Strongly agree,Not sure,,Yes – measurements tend to focus on roads in better condition,Strongly agree,Yes – HDM-4 modelling for condition prediction and economic evaluation,Strongly agree,Incomplete or inconsistent condition records,No impact,No impact,No impact,No impact,No impact,Very likely to consider,Demonstrated agreement with measured field data,Not useful at all,Not useful at all,Not useful at all,Not useful at all,Slightly familiar,Slightly familiar,Moderately familiar,Moderately familiar,"Data cloud storage, use of AI.",No.
75,Pavement Management,session_1777541327_d425275e,2026-04-30 12:41:16,MTRD,Headquarters (national coordination),Senior Engineer,5–10 years,Pavement condition assessment; Maintenance planning/prioritisation,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Pavement Condition Index (PCI); Structural Number (SN)",To a large degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Traffic levels",Fully consistent continuity (systematic repeated measurements across years for most sections),Recorded and systematically linked to condition data,Strongly agree,Yes,Traffic importance; Road class/strategic priority; Budget limitations,No – measurements are distributed similarly across the network,Strongly agree,"Yes – Structured statistical models (e.g., regression or trend-based models using historical condition data)",Strongly agree,Incomplete or inconsistent condition records; Missing or unreliable maintenance histories,Very large impact,Large impact,Large impact,Large impact,Very large impact,Likely to consider,Demonstrated agreement with measured field data,Extremely useful,Extremely useful,Extremely useful,Extremely useful,Very familiar,Moderately familiar,Very familiar,Slightly familiar,"Digitising all available pavement condition survey data,getting up to date softeares and more funding on pavement evaluation",Road condition surveys should be carried out reguraly not only when the pavement is deteroriating
74,Pavement Management,session_1777448849_43a9f3d2,2026-04-29 11:08:13,MTRD,Headquarters (national coordination),Other (specify): Senior Principal Engineer,> 20 years,Pavement condition assessment; Road Management System (RMS) development and use/Data management; Use of HDM-4 or other modelling tools,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Structural Number (SN); Engineering site inspection without formal rating; Other (please specify): Pavement structural assessment i.e. Pavement Deflection Measurements, GPR Test",To a moderate degree,Budget ceilings; Strategic corridor importance; Political or policy direction; Emergency requirements; Traffic levels; Engineer/Inspector judgement; Equity considerations (across regions/constituencies),Very limited continuity (only occasional repeats),Recorded sporadically and not linked to condition data,Strongly agree,Yes,Traffic importance; Road class/strategic priority; Budget limitations; Roads under special programmes; Complaint-driven inspections; Traffic management or safety considerations,No – measurements are distributed similarly across the network,Agree,Informal engineering judgement,Agree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Limited integration between data systems (condition, maintenance, planning); Software/tool limitations",Large impact,Large impact,Small impact,Small impact,Moderate impact,Unlikely to consider,Transparent modelling approach (clear methods and assumptions); Quantified uncertainty (e.g. confidence ranges),Moderately useful,Moderately useful,Very useful,Very useful,Very familiar,Moderately familiar,Moderately familiar,Moderately familiar,"A. Ensure structured road assessment with regular data collection on annual, medium-term and long-term time frames with institutional responsibility;
B. Integrate databases within the road sub-sector",No.
73,Pavement Management,session_1777320828_d9110727,2026-04-27 23:23:18,KURA,"Regional office (regional work planning, implementation)",Senior Engineer,< 5 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management; Use of HDM-4 or other modelling tools; Reporting to KRB/Ministry of Roads and Transport/Treasury,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a large degree,Budget ceilings; Public complaints; Emergency requirements; Traffic levels; Engineer/Inspector judgement; Equity considerations (across regions/constituencies),Fully consistent continuity (systematic repeated measurements across years for most sections),Recorded and systematically linked to condition data,Strongly agree,Yes,Traffic importance; Complaint-driven inspections; Traffic management or safety considerations,Yes – measurements tend to focus on roads in poorer condition,Strongly agree,No formal forecasting,Strongly agree,Incomplete or inconsistent condition records; Limited technical skills or modelling expertise,Very large impact,Very large impact,Very large impact,Very large impact,Very large impact,Very likely to consider,"Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns); Approval by a recognized authority (e.g., KRB)",Extremely useful,Extremely useful,Extremely useful,Extremely useful,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Improved accurate record keeping.,This will help in timely maintenance interventions.
72,Pavement Management,session_1777319540_5f8864e9,2026-04-27 23:06:45,KURA,"Regional office (regional work planning, implementation)",Senior Engineer,< 5 years,Maintenance planning/prioritisation,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a moderate degree,Budget ceilings; Engineer/Inspector judgement,Somewhat consistent continuity (repeated measurements for many sections),Recorded and partially linked to condition data,Agree,Not sure,,Yes – measurements tend to focus on roads in poorer condition,Agree,Informal engineering judgement,Agree,Incomplete or inconsistent condition records; Budget constraints,Large impact,Very large impact,Moderate impact,Very large impact,Moderate impact,Likely to consider,"Independent technical review or validation; Approval by a recognized authority (e.g., KRB)",Moderately useful,Very useful,Moderately useful,Extremely useful,Slightly familiar,Slightly familiar,Slightly familiar,Not at all familiar,KRB to consider reserving budgets for pavement performance management. (KRB to invest heavily on it).,Authorities to invest on road asset management tools rather than concentrating on just development and maintenance.
71,Pavement Management,session_1777315278_e31e1084,2026-04-27 21:52:50,KURA,"Regional office (regional work planning, implementation)",Assistant Director/Principal Engineer,< 5 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a small degree,Budget ceilings; Public complaints; Engineer/Inspector judgement,"Irregular continuity (some repeated measurements, but inconsistent over time)",Recorded and partially linked to condition data,Neither agree nor disagree,No,,Not sure,Disagree,Informal engineering judgement,Neither agree nor disagree,"Incomplete or inconsistent condition records; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Software/tool limitations",Very large impact,Large impact,Large impact,Large impact,Moderate impact,Likely to consider,"Demonstrated agreement with measured field data; Independent technical review or validation; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Very useful,Very useful,Moderately useful,Moderately useful,Slightly familiar,Not at all familiar,Not at all familiar,Not at all familiar,Use of pavement analysis process to plan for maintenance works and then budgeting process for planned maintenance work,No
70,Pavement Management,session_1777312961_aebdf2e8,2026-04-27 21:20:59,KURA,"Regional office (regional work planning, implementation)",Senior Engineer,> 20 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a large degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Political or policy direction; Public complaints; Emergency requirements; Traffic levels; Engineer/Inspector judgement",Somewhat consistent continuity (repeated measurements for many sections),Recorded and partially linked to condition data,Agree,Yes,Traffic importance; Road class/strategic priority; Equipment availability or personnel skills,Yes – measurements tend to focus on roads in better condition,Agree,No formal forecasting,Neither agree nor disagree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Difficult accessibility of historical records; Institutional culture favouring established decision practices over analytical modelling; Software/tool limitations",Large impact,Large impact,Very large impact,Very large impact,Very large impact,Very likely to consider,"Demonstrated agreement with measured field data; Transparent modelling approach (clear methods and assumptions); Independent technical review or validation; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Very useful,Extremely useful,Extremely useful,Extremely useful,Moderately familiar,Slightly familiar,Slightly familiar,Not at all familiar,Institutional approach will have a bigger impact since it will have the g good will of the top management.,No
69,Pavement Management,session_1777284425_880c55c1,2026-04-27 13:44:38,KURA,"Regional office (regional work planning, implementation)",Assistant Director/Principal Engineer,10–20 years,Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a small degree,Budget ceilings; Strategic corridor importance; Public complaints; Emergency requirements; Traffic levels; Maintenance history; Engineer/Inspector judgement,Very limited continuity (only occasional repeats),Recorded and partially linked to condition data,Strongly agree,Yes,Budget limitations; Roads under special programmes; Traffic management or safety considerations,Yes – measurements tend to focus on roads in poorer condition,Neither agree nor disagree,Informal engineering judgement,Disagree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited integration between data systems (condition, maintenance, planning); Institutional culture favouring established decision practices over analytical modelling",Large impact,Large impact,Small impact,Very large impact,Large impact,Likely to consider,Demonstrated agreement with measured field data,Moderately useful,Very useful,Very useful,Very useful,Moderately familiar,Moderately familiar,Slightly familiar,Not at all familiar,Data storage and accesibility to assist in uptake of current techologies in project planning,Non
68,Pavement Management,session_1777284019_14c3eda7,2026-04-27 13:29:22,KURA,"Regional office (regional work planning, implementation)",Deputy Director,10–20 years,Pavement condition assessment; Maintenance planning/prioritisation,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a small degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Political or policy direction; Public complaints; Emergency requirements; Engineer/Inspector judgement",No systematic continuity (measurements are not repeated for the same sections),Recorded but generally not linked to condition data,Strongly agree,No,,Yes – measurements tend to focus on roads in better condition,Agree,Informal engineering judgement,Agree,"Limited technical skills or modelling expertise; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Difficult accessibility of historical records; Software/tool limitations",Moderate impact,Small impact,Small impact,Moderate impact,No impact,Very likely to consider,"Demonstrated agreement with measured field data; Transparent modelling approach (clear methods and assumptions); Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns); Approval by a recognized authority (e.g., KRB)",Moderately useful,Slightly useful,Moderately useful,Slightly useful,Not at all familiar,Not at all familiar,Not at all familiar,Not at all familiar,Advocacy and education of importance using data systems across all stakeholders,This may be  relatively new to many engineers involved in road asset management activities. Awareness needs to be created first.
67,Pavement Management,session_1777283647_12c4e700,2026-04-27 13:09:30,KURA,"Regional office (regional work planning, implementation)",Senior Engineer,5–10 years,Maintenance planning/prioritisation; Budget preparation and justification; Reporting to KRB/Ministry of Roads and Transport/Treasury,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications)",To a very large degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Public complaints; Emergency requirements; Maintenance history; Engineer/Inspector judgement; Equity considerations (across regions/constituencies)",Very limited continuity (only occasional repeats),Recorded and partially linked to condition data,Strongly agree,Yes,Road class/strategic priority; Budget limitations; Roads under special programmes; Complaint-driven inspections,Yes – measurements tend to focus on roads in poorer condition,Agree,Informal engineering judgement,Agree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Difficult accessibility of historical records; Institutional culture favouring established decision practices over analytical modelling; Software/tool limitations",Large impact,Very large impact,Large impact,Large impact,Large impact,Very likely to consider,"Demonstrated agreement with measured field data; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns); Approval by a recognized authority (e.g., KRB)",Very useful,Very useful,Very useful,Extremely useful,Moderately familiar,Slightly familiar,Slightly familiar,Not at all familiar,"Move from fragmented, static data → integrated, decision-ready systems","1.Move from snapshot condition data → calibrated deterioration models
2.Embed lifecycle forecasting into all planning decisions
3.Use condition data to trigger preventive maintenance thresholds"
66,Pavement Management,session_1776710285_cc5f72e5,2026-04-20 22:18:48,KURA,"Regional office (regional work planning, implementation)",Deputy Director,10–20 years,Pavement condition assessment; Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a moderate degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Political or policy direction; Emergency requirements; Traffic levels; Engineer/Inspector judgement; Equity considerations (across regions/constituencies)",Somewhat consistent continuity (repeated measurements for many sections),Recorded but generally not linked to condition data,Agree,Yes,Traffic importance; Road class/strategic priority; Roads under special programmes,No – measurements are distributed similarly across the network,Agree,Informal engineering judgement,Neither agree nor disagree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Institutional culture favouring established decision practices over analytical modelling; Software/tool limitations",Large impact,Very large impact,Moderate impact,Very large impact,Very large impact,Likely to consider,Only when direct measurements are unavailable,Very useful,Slightly useful,Slightly useful,Slightly useful,Slightly familiar,Not at all familiar,Slightly familiar,Slightly familiar,"1. Embrace the use AI and data analytics in predictive maintenance models.
2 Capacity building among staff on the models like AI and HDM-4
4 Maintenance budget enhancement.
5. Research and innovation on high performace materials",Forexasting modelling is the best while put into practice. It will bear fruits only when political risks are minimised tremedously.
65,Pavement Management,session_1776688975_dae0aa76,2026-04-20 16:32:35,KURA,Headquarters (national coordination),Assistant Director/Principal Engineer,10–20 years,Maintenance planning/prioritisation,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a small degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Political or policy direction; Public complaints; Emergency requirements; Maintenance history; Engineer/Inspector judgement; Equity considerations (across regions/constituencies)",No systematic continuity (measurements are not repeated for the same sections),Not systematically recorded,Strongly agree,Yes,Traffic importance; Road class/strategic priority; Budget limitations; Equipment availability or personnel skills; Roads under special programmes; Complaint-driven inspections; Traffic management or safety considerations,Yes – measurements tend to focus on roads in poorer condition,Strongly agree,No formal forecasting,Agree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Institutional culture favouring established decision practices over analytical modelling",Moderate impact,Moderate impact,Moderate impact,Moderate impact,Moderate impact,Likely to consider,"Demonstrated agreement with measured field data; Transparent modelling approach (clear methods and assumptions); Quantified uncertainty (e.g. confidence ranges); Independent technical review or validation; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Moderately useful,Moderately useful,Moderately useful,Moderately useful,Slightly familiar,Not at all familiar,Not at all familiar,Not at all familiar,"Training of Engineers in collection of road condition data collection and analysis 
Integration of road condition data with planning models",How can we put in place pavement performance monitoring models considering we have no baseline data on most of the Constructed roads.
64,Pavement Management,session_1776680492_a5e51119,2026-04-20 13:41:35,MTRD,Headquarters (national coordination),Other (specify): Deputy CE,10–20 years,Pavement condition assessment,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Pavement Condition Index (PCI); Structural Number (SN)",To a small degree,Budget ceilings; Political or policy direction; Traffic levels,"Irregular continuity (some repeated measurements, but inconsistent over time)",Recorded sporadically and not linked to condition data,Strongly agree,Yes,Traffic importance; Road class/strategic priority; Budget limitations; Regional accessibility; Roads under special programmes,Yes – measurements tend to focus on roads in poorer condition,Agree,Yes – HDM-4 modelling for condition prediction and economic evaluation,Neither agree nor disagree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Institutional culture favouring established decision practices over analytical modelling",Large impact,Large impact,Large impact,Moderate impact,Moderate impact,Likely to consider,"Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Very useful,Very useful,Very useful,Very useful,Slightly familiar,Slightly familiar,Not at all familiar,Not at all familiar,"Collaboration of different organizations in design, construction, maintenance and M&E of road pavement",Irresponsibility and lack of accountability in road condition assessement and maintenance
63,Pavement Management,session_1776606677_183bab75,2026-04-20 12:58:23,KURA,Headquarters (national coordination),Senior Engineer,5–10 years,Budget preparation and justification; Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury; Policy formulation,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",Not at all,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Political or policy direction; Emergency requirements; Engineer/Inspector judgement; Equity considerations (across regions/constituencies)",No systematic continuity (measurements are not repeated for the same sections),Recorded but generally not linked to condition data,Strongly agree,No,,Not sure,Neither agree nor disagree,No formal forecasting,Neither agree nor disagree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Difficult accessibility of historical records; Software/tool limitations",Very large impact,Very large impact,Very large impact,Moderate impact,Very large impact,Very likely to consider,"Transparent modelling approach (clear methods and assumptions); Independent technical review or validation; Approval by a recognized authority (e.g., KRB); Only when direct measurements are unavailable",Extremely useful,Extremely useful,Extremely useful,Extremely useful,Not at all familiar,Moderately familiar,Very familiar,Slightly familiar,Implementation of LCA in planning phases and ensuring that they are utilised for maintenance planning. Use of AI and analytics to establish pavement conditions. Use of HDM4 like tools to prioritise road maintenance and multiyear cycle maintenance approaches. Non-political based maintenance interventions. establishment of pavement deterioration models to predict maintenance requirements.,Captured as above.
62,Pavement Management,session_1776620892_dfca236b,2026-04-19 21:49:30,KeRRA,Headquarters (national coordination),Director,10–20 years,Maintenance planning/prioritisation; Budget preparation and justification; Reporting to KRB/Ministry of Roads and Transport/Treasury; Policy formulation,Other (please specify): Use of formal Road Inventory Condition Surveys (RICS) that captures various metrics and road surface conditions,To a moderate degree,Budget ceilings; Strategic corridor importance; Political or policy direction; Public complaints; Emergency requirements,No systematic continuity (measurements are not repeated for the same sections),Not systematically recorded,Strongly agree,Yes,Other (please specify): Roads funded under the PPP framework which requires performance measurement monitoring,Not sure,Strongly agree,No formal forecasting,Strongly agree,Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Budget constraints; Difficult accessibility of historical records,Very large impact,Very large impact,Very large impact,Very large impact,Very large impact,Very likely to consider,"Demonstrated agreement with measured field data; Transparent modelling approach (clear methods and assumptions); Independent technical review or validation; Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns); Approval by a recognized authority (e.g., KRB)",Extremely useful,Extremely useful,Extremely useful,Extremely useful,Slightly familiar,Slightly familiar,Slightly familiar,Slightly familiar,The authority should institutionalize Road Asset Management (RAM) by carrying out a study on RAM maturity. The RAM maturity level should then inform on the areas of focus to enhance data driven decision making frameworks.,"Use of condition data in RAM is necessary in Kenya but requires investment in human and technical capacity, which is an expensive undertaking. Rolling out of data-driven RAM should therefore be undertaken progressively first on a pilot basis. Lessons learn could then be used for a national wide coverage of the system."
61,Pavement Management,session_1776500715_c6e8be59,2026-04-18 12:03:44,KURA,Headquarters (national coordination),Assistant Director/Principal Engineer,10–20 years,Maintenance planning/prioritisation; Budget preparation and justification; Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury,"International Roughness Index (IRI); Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a small degree,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Emergency requirements; Equity considerations (across regions/constituencies)",No systematic continuity (measurements are not repeated for the same sections),Recorded sporadically and not linked to condition data,Agree,Yes,Traffic importance; Budget limitations; Equipment availability or personnel skills,Not sure,Neither agree nor disagree,No formal forecasting,Strongly disagree,Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Institutional culture favouring established decision practices over analytical modelling,Large impact,Large impact,Large impact,Very large impact,Large impact,Unlikely to consider,"Transparent modelling approach (clear methods and assumptions); Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns); Approval by a recognized authority (e.g., KRB)",Moderately useful,Very useful,Very useful,Very useful,Slightly familiar,Slightly familiar,Slightly familiar,Moderately familiar,Sector wide integrated data base development with access to all institutions within the Roads sub-sector,
60,Pavement Management,session_1776498032_56a4fa66,2026-04-18 10:54:03,KURA,"Regional office (regional work planning, implementation)",Assistant Director/Principal Engineer,10–20 years,Maintenance planning/prioritisation; Road Management System (RMS) development and use/Data management; Reporting to KRB/Ministry of Roads and Transport/Treasury,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",Not at all,"Pavement condition indicators (e.g., IRI, PCI, visual ratings); Budget ceilings; Strategic corridor importance; Traffic levels","Irregular continuity (some repeated measurements, but inconsistent over time)",Recorded but generally not linked to condition data,Strongly agree,Yes,Traffic importance; Road class/strategic priority; Budget limitations; Equipment availability or personnel skills,Not sure,Agree,Informal engineering judgement,Neither agree nor disagree,Institutional culture favouring established decision practices over analytical modelling,Large impact,Large impact,Large impact,Large impact,Large impact,Very unlikely to consider,"Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns)",Very useful,Very useful,Very useful,Very useful,Moderately familiar,Not at all familiar,Slightly familiar,Not at all familiar,Planning interventions should be backed by factual data analyzed by tools like HDM4,Data collection and management should be made compulsory for all road agencies.Use of technology to assist in planning and decision making should be fully embraced
59,Pavement Management,session_1776453510_59f7a1b3,2026-04-17 22:37:06,KURA,Headquarters (national coordination),Senior Engineer,5–10 years,Pavement condition assessment; Budget preparation and justification,"Visual surface condition rating (e.g., Good, Fair, Poor based on formal specifications); Engineering site inspection without formal rating",To a small degree,Budget ceilings; Strategic corridor importance; Political or policy direction; Public complaints; Emergency requirements; Traffic levels; Maintenance history; Engineer/Inspector judgement; Equity considerations (across regions/constituencies),"Irregular continuity (some repeated measurements, but inconsistent over time)",Not systematically recorded,Agree,Yes,Traffic importance; Road class/strategic priority,Not sure,Disagree,Informal engineering judgement,Agree,"Incomplete or inconsistent condition records; Missing or unreliable maintenance histories; Limited technical skills or modelling expertise; Budget constraints; Limited integration between data systems (condition, maintenance, planning); Difficult accessibility of historical records; Institutional culture favouring established decision practices over analytical modelling",Small impact,Small impact,Moderate impact,Moderate impact,Moderate impact,Very likely to consider,"Transparent modelling approach (clear methods and assumptions); Consistency with observed network behaviour (e.g., reconstructed values follow expected patterns across road classes, traffic levels, or known deterioration patterns); Approval by a recognized authority (e.g., KRB)",Extremely useful,Extremely useful,Extremely useful,Extremely useful,Slightly familiar,Slightly familiar,Slightly familiar,Slightly familiar,mandatory database and updates by road authorities on pavement condition,"Use of AI and data analytics requires training of engineers, and this would greatly improve pavement performance management."
